sequence_no,event_type,node_id,lot_id,time_bucket,payload
46,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024290002,34,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 34}"
47,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024290003,34,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 34}"
48,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024290004,34,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 34}"
49,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024290005,34,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 34}"
50,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024290006,34,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 34}"
51,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024290007,35,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 35}"
52,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024300001,35,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 35}"
53,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024300002,35,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 35}"
54,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024300003,35,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 35}"
55,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024300004,35,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 35}"
56,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024300005,36,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 36}"
57,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024300006,36,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 36}"
58,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024300007,36,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 36}"
59,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024310001,36,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 36}"
60,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024310002,36,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 36}"
61,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024310003,37,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 37}"
62,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024310004,37,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 37}"
63,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024310005,37,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 37}"
64,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024310006,37,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 37}"
65,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024310007,37,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 37}"
66,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024320001,38,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 38}"
67,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024320002,38,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 38}"
68,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024320003,38,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 38}"
69,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024320004,38,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 38}"
70,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024320005,38,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 38}"
71,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024320006,39,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 39}"
72,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024320007,39,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 39}"
73,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024330001,39,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 39}"
74,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024330002,39,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 39}"
75,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024330003,39,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 39}"
76,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024330004,40,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 40}"
77,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024330005,40,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 40}"
78,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024330006,40,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 40}"
79,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024330007,40,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 40}"
80,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024340001,40,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 40}"
81,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024340002,41,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 41}"
82,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024340003,41,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 41}"
83,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024340004,41,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 41}"
84,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024340005,41,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 41}"
85,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024340006,41,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 41}"
86,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024340007,42,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 42}"
87,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024350001,42,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 42}"
88,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024350002,42,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 42}"
89,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024350003,42,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 42}"
90,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024350004,42,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 42}"
91,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024350005,43,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 43}"
92,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024350006,43,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 43}"
93,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024350007,43,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 43}"
94,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024360001,43,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 43}"
